Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2018-11-29 00:00:00-05:00,43.82976057,43.8633538,42.63959358,43.08350754,167080000,0,0,AAPL
2018-11-29 00:00:00-05:00,104.7690743,105.5192571,103.5345949,104.6361313,28123200,0,0,MSFT
2018-11-29 00:00:00-05:00,54.17649841,55.00749969,54.09999847,54.72900009,31004000,0,0,GOOGL
2018-11-29 00:00:00-05:00,83.74949646,84.49949646,82.61650085,83.67849731,132264000,0,0,AMZN
2018-11-29 00:00:00-05:00,39.69278403,40.06490388,38.73519546,39.03785324,54917200,0.04,0,NVDA
2018-11-29 00:00:00-05:00,135.9199982,139.9900055,135.6600037,138.6799927,24238700,0,0,META
2018-11-29 00:00:00-05:00,23.13333321,23.16666794,22.63666725,22.74466705,46210500,0,0,TSLA
2018-11-29 00:00:00-05:00,106.3702779,108.7965878,106.0658339,107.9386139,4688300,0,0,LLY
2018-11-29 00:00:00-05:00,135.973059,135.9827185,134.0594471,134.4363708,8751500,0,0,V
2018-11-29 00:00:00-05:00,33.52071407,33.89169268,33.45004955,33.50304794,7056600,0,0,TSM
